,ec,ph,cunt,otmsuplyqy,id,measDtStr
21,2.2942356,5.768797,17.0,179.33333330000002,9,20170915230000
24,2.6937499989999996,5.356250008,5.0,210.57638889999998,9,20171220230000
45,2.228260864,5.850000018999999,21.5,179.781746,9,20170914230000
85,2.228416677,6.002416664,20.0,163.4398148,9,20170913230000
110,2.372916678,5.93166668,23.0,145.38446969999998,9,20170912230000
118,2.7698867989999996,5.783849065,39.5,76.09756098,9,20180301230000
129,2.7333333489999996,5.549999952,3.0,148.08333330000002,9,20171229230000
150,2.422857182,5.594999944,7.0,172.21527780000002,9,20170911230000
181,2.5605262890000002,5.7973684510000005,17.0,119.05146200000001,9,20170908230000
205,2.366666714,5.76444442,14.5,140.9599359,9,20170909230000
237,2.390625048,5.773660736,13.0,174.87896830000003,9,20170910230000
278,2.555945926,5.883320502,28.0,70.23818646,9,20170903230000
302,2.571064796,5.866666691,22.5,87.36210318,9,20170904230000
326,2.62499994,5.458333372999999,2.0,163.70833330000002,9,20170905230000
357,2.665000027,5.629999924,4.5,125.13333329999999,9,20170906230000
381,2.595404377,5.77573532,13.0,123.8782051,9,20170907230000
388,2.0883927819999997,5.690178552000001,6.0,213.01388889999998,9,20171202230000
400,2.8558823639999997,5.5985294020000005,24.0,82.02492754,9,20170829230000
424,2.865384625,5.530769182999999,11.5,87.75568182,9,20170830230000
448,2.844607874,5.690767982000001,27.5,85.37511052,9,20170831230000
461,2.73333331,5.450000048,3.0,148.08333330000002,9,20171228230000
479,2.8161764989999996,5.753584549,28.5,88.06311576,9,20170901230000
503,2.597999988,5.848000031000001,19.5,86.3995098,9,20170902230000
522,3.062785718,5.813142908,23.0,86.52536232,9,20170824230000
546,3.0674718,5.797504025,22.5,86.28903162,9,20170825230000
570,2.908289125,5.869694999,22.0,88.08333333,9,20170826230000
601,2.8488876710000004,5.841991157000001,26.0,88.08333333,9,20170827230000
625,2.848397472,5.499038463,11.0,88.08333333,9,20170828230000
646,2.428636408,5.789090972,9.5,55.0,9,20180405230000
670,2.274258711,5.926538191000001,61.5,55.0,9,20180406230000
694,2.247023827,5.911263771000001,65.0,54.83135908,9,20180407230000
725,2.244805588,5.9575707,58.5,55.15972222,9,20180408230000
749,2.2164713259999997,5.959235812,66.5,55.0,9,20180409230000
796,2.3705469690000003,5.890539587999999,30.5,55.0,9,20180401230000
821,2.6944444310000004,5.461111148,8.5,125.3564815,9,20171227230000
827,2.268108665,5.951280437,63.0,55.14861111,9,20180402230000
851,2.2693960730000002,5.95837689,60.5,55.0,9,20180403230000
871,2.404545501,5.8892857979999995,10.0,55.0,9,20180404230000
897,2.1678974230000003,5.934923119,56.0,50.54983477,9,20180525230000
918,2.269727842,6.027541427,59.5,66.22418504,9,20180327230000
949,2.282043659,5.964742074,59.5,61.50496032,9,20180328230000
973,2.363565232,5.916913077,42.5,58.5,9,20180329230000
997,2.285972644,6.023142673,55.0,56.46472663,9,20180330230000
1021,2.269484771,5.99147413,57.5,55.0,9,20180331230000
1040,2.259913274,6.066296886,57.0,66.19314449999999,9,20180322230000
1071,2.259277785,6.0706944389999995,59.0,66.11178161,9,20180323230000
1095,2.29877745,5.995457072000001,50.0,66.09503802,9,20180324230000
1119,2.268475569,5.904712111,56.5,65.29688805,9,20180325230000
1143,2.250714297,6.072857107000001,53.5,65.20614955,9,20180326230000
1162,2.050450139,5.7842335910000005,53.5,66.08752621,9,20180317230000
1193,2.483894237,5.924759621000001,12.5,67.14423077,9,20180318230000
