,hvstGrupp,hvstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
2837,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.7166666669999997,5.6,6.0,76.47907648
2838,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.742857143,5.614285714,7.0,76.47907648
2839,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.7,5.6,2.0,76.47907648
2840,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.6,5.6,2.0,76.47907648
2841,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.614285714,5.6,7.0,76.47907648
2842,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.5875,5.5875,8.0,76.47907648
2843,1.6665,4.5,22.15,0.0,48.375,3,10.25,47.3,11.0975,2.742857143,5.628571429,7.0,76.58214801
2844,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.683333333,5.6333333329999995,7.0,73.38693053
2845,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.75,6.275,4.0,76.47907648
2846,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.714285714,6.214285714,8.0,72.33044733
2847,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.7,5.7,8.0,72.96176046
2848,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.7625,5.6125,8.0,76.47907648
2849,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.725,5.6,8.0,76.47907648
2850,2.333,1.75,28.4,18.5,48.35,4,11.0,44.5,10.8525,2.7,5.6625,8.0,77.11038961
2851,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.7,5.6857142860000005,8.0,74.58513709
2852,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.6125,5.6125,9.0,76.31874299
2853,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.6,5.6,8.0,72.87157287
2854,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.642857143,5.6,7.0,72.87157287
2855,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.6375,5.6125,9.0,72.0699054
2856,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.628571429,5.6,7.0,73.07771594
2857,3.25,2.25,26.25,21.55,46.15,5,8.75,43.25,10.9675,2.611111111,5.6,9.0,72.87157287
2858,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.644444444,5.6,9.0,70.46657047
2859,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.757142857,5.571428571,7.0,72.56235828
2860,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.8,5.577777778,9.0,71.66907167
2861,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.588888889,5.6,9.0,71.26823794
2862,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.6,5.6,8.0,69.98556999
2863,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.611111111,5.6,9.0,69.98556999
2864,3.75,1.0,18.15,23.575,49.25,6,11.75,50.5,10.6825,2.588888889,5.588888889,10.0,68.25396825
2865,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.75,5.55,10.0,70.70707071
2866,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.742857143,5.6,7.0,70.70707071
2867,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.725,5.575,9.0,69.18390252
2868,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.725,5.5875,9.0,68.22190156
2869,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.7625,5.6125,9.0,67.82106782
2870,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.7625,5.6,8.0,70.70707071
2871,4.125,0.75,34.425,23.425,50.925,7,8.25,51.85,15.0775,2.73,5.61,11.0,69.46084219
2872,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.7,5.6,9.0,70.70707071
2873,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.742857143,5.6,8.0,64.93506494
2874,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.8,5.577777778,9.0,71.50873818
2875,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.7375,5.575,8.0,70.70707071
2876,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.763636364,5.572727273,11.0,70.70707071
2877,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.73,5.6,10.0,70.70707071
2878,4.5,0.75,33.1666666666667,24.825,47.8,8,10.25,52.575,13.6475,2.718181818,5.581818182,12.0,70.28619529
2879,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.588888889,5.6,9.0,67.0995671
2880,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.633333333,5.591666667,13.0,66.54456655
2881,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.6818181819999998,5.554545455,11.0,67.0995671
2882,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.733333333,5.566666667000001,3.0,67.0995671
2883,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.692307692,5.569230769,13.0,67.0995671
2884,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.630769231,5.607692308,14.0,64.36817151
2885,5.6665,1.75,24.9333333333333,25.125,45.925,9,9.0,47.55,12.3675,2.709090909,5.609090909,12.0,61.44781145
2886,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.766666667,5.6,3.0,63.49206349
2887,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.8,5.6,3.0,63.49206349
2888,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.78,5.6,15.0,63.49206349
2889,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.725,5.6,4.0,66.73881674
2890,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.75,5.6,6.0,67.82106782
2891,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.777777778,5.6,9.0,67.82106782
2892,6.0415,1.5,22.625,21.675,45.85,10,8.25,42.1,12.865,2.766666667,5.6,16.0,66.06240981
2893,7.0,2.0,20.925,21.6,43.325,11,9.25,41.15,11.005,2.76875,5.6,16.0,65.65656566
