,frtstGrupp,frtstCo,fcluHg,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
364,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.8708332999999997,5.54999995,12.0,68.04
365,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.87272725,5.7227272000000005,11.0,62.36
366,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.81,5.77,10.0,67.4
367,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.9134615000000004,5.541025599999999,12.5,67.5
368,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.69999995,5.62142855,7.0,72.93
369,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.79999995,5.62499995,12.0,66.04
370,3.0,18.75,24.75,0.0,0.0,45,15.0,0.0,12.5,2.75480765,5.61923075,12.5,61.435
378,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.8636362999999996,5.63181815,11.0,72.045
379,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.79954545,5.659090900000001,10.5,69.03
380,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.85,5.6,1.0,68.0
381,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.575,5.7,2.0,58.5
382,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.7525,5.655,4.5,62.525
383,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.79166665,5.6722222,8.5,75.66
384,7.7,17.25,27.75,16.0,0.0,47,12.5,0.0,11.95,2.74166665,5.71666665,6.0,101.25
385,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,2.87777775,5.68888885,9.0,88.89
386,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,2.9125,5.5583333,5.0,74.75
387,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,3.0694444,5.2756944,8.5,90.845
388,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,2.9416666,5.3416666,6.0,91.25
389,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,3.03541665,4.93680555,8.5,67.93
390,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,3.23571425,5.21428565,7.0,63.855
391,8.65,19.25,22.25,16.5,0.0,48,14.5,0.0,11.225,3.035,5.255,4.5,62.35
392,9.2,18.0,32.0,16.5,0.0,49,12.75,0.0,11.775,2.99999995,5.46666665,3.0,75.165
393,9.2,18.0,32.0,16.5,0.0,49,12.75,0.0,11.775,2.975,5.525,4.0,54.25
