,grwtLt,lefLt,frmWeek,lefCunt,lefBt,stemThck,ec,ph,cunt,otmsuplyqy
0,0.0,0.0,43,0.0,0.0,0.0,2.104545442,6.086363619,8.5,185.0
1,0.0,0.0,43,0.0,0.0,0.0,2.072377586,6.017132866,10.5,189.8
2,0.0,0.0,43,0.0,0.0,0.0,2.064102521,5.872051281,11.0,181.16666669999998
3,0.0,0.0,43,0.0,0.0,0.0,2.070833286,5.843055613,9.0,180.83333330000002
4,0.0,0.0,43,0.0,0.0,0.0,2.067857117,6.057142837000001,11.5,166.52777780000002
5,0.0,0.0,43,0.0,0.0,0.0,2.0838234780000002,6.1686274,15.5,161.96813730000002
6,0.0,0.0,43,0.0,0.0,0.0,2.154341697,5.97535011,15.0,177.61111110000002
7,0.0,0.0,44,0.0,0.0,0.0,2.099999934,5.724999984,9.0,150.9125
8,0.0,0.0,44,0.0,0.0,0.0,2.1122916430000003,5.768333325,13.5,165.5668498
9,0.0,0.0,44,0.0,0.0,0.0,2.0255881980000003,5.7933823989999995,14.5,141.96309519999997
10,0.0,0.0,44,0.0,0.0,0.0,2.069444404,5.840625039,12.5,165.38835469999998
11,0.0,0.0,44,0.0,0.0,0.0,2.116666595,5.558333277999999,2.5,177.83333330000002
12,0.0,0.0,44,0.0,0.0,0.0,2.116666623,5.686507893,13.0,154.84615390000002
13,0.0,0.0,44,0.0,0.0,0.0,2.037362598,5.835439592999999,11.0,193.89393940000002
14,0.0,0.0,41,0.0,0.0,0.0,2.25,5.574999929,2.0,187.25
15,0.0,0.0,41,0.0,0.0,0.0,2.199999988,5.774999976,2.0,187.25
16,0.0,0.0,41,0.0,0.0,0.0,2.114999947,5.963749984,13.0,186.453125
17,0.0,0.0,41,0.0,0.0,0.0,2.147499985,5.815000045,16.0,171.43267969999997
18,0.0,0.0,41,0.0,0.0,0.0,2.181041671,5.750625037000001,12.0,147.0
19,0.0,0.0,41,0.0,0.0,0.0,2.166666657,5.770833333,9.5,221.7425926
20,0.0,0.0,41,0.0,0.0,0.0,2.1909090819999997,5.927272753,8.5,212.5300926
21,0.0,0.0,42,0.0,0.0,0.0,2.1361110869999997,5.741666661,14.0,180.33333330000002
22,0.0,0.0,42,0.0,0.0,0.0,2.128267953,5.734967315,13.5,170.6135531
23,0.0,0.0,42,0.0,0.0,0.0,2.157189522,5.960130717,15.0,182.37777780000002
24,0.0,0.0,42,0.0,0.0,0.0,2.217500019,5.7350000439999995,8.0,173.04166669999998
